,Code departement,IPS Ensemble GT-PRO
0,01,110-120
1,02,100-110
2,03,100-110
3,04,110-120
4,05,110-120
5,06,110-120
6,07,100-110
7,08,100-110
8,09,100-110
9,10,100-110
10,11,100-110
11,12,110-120
12,13,110-120
13,14,110-120
14,15,100-110
15,16,110-120
16,17,110-120
17,18,100-110
18,19,100-110
19,21,110-120
20,22,110-120
21,23,110-120
22,24,100-110
23,25,110-120
24,26,110-120
25,27,100-110
26,28,110-120
27,29,110-120
28,2A,100-110
29,2B,100-110
30,30,100-110
31,31,120-130
32,32,110-120
33,33,110-120
34,34,110-120
35,35,110-120
36,36,100-110
37,37,120-130
38,38,110-120
39,39,100-110
40,40,110-120
41,41,110-120
42,42,110-120
43,43,110-120
44,44,120-130
45,45,100-110
46,46,100-110
47,47,100-110
48,48,110-120
49,49,110-120
50,50,100-110
51,51,100-110
52,52,100-110
53,53,110-120
54,54,110-120
55,55,100-110
56,56,110-120
57,57,100-110
58,58,100-110
59,59,100-110
60,60,110-120
61,61,100-110
62,62,100-110
63,63,110-120
64,64,110-120
65,65,110-120
66,66,100-110
67,67,110-120
68,68,100-110
69,69,110-120
70,70,100-110
71,71,100-110
72,72,100-110
73,73,110-120
74,74,110-120
75,75,120-130
76,76,100-110
77,77,110-120
78,78,120-130
79,79,110-120
80,80,100-110
81,81,110-120
82,82,100-110
83,83,110-120
84,84,100-110
85,85,100-110
86,86,110-120
87,87,110-120
88,88,100-110
89,89,100-110
90,90,110-120
91,91,110-120
92,92,120-130
93,93,90-100
94,94,110-120
95,95,110-120
96,971,90-100
97,972,90-100
98,973,80-90
99,974,90-100
